x,pi2,E2,Delta2,M,psi_minus_x
1000,35.0,47.1907,-12.1907,2.0,-3.3191
1006,35.0,47.3566,-12.3566,1.0,-9.3191
1011,35.0,47.4946,-12.4946,1.0,-7.4024
1017,35.0,47.6600,-12.6600,-1.0,-6.4817
1023,36.0,47.8250,-11.8250,-4.0,1.3734
1029,36.0,47.9898,-11.9898,-3.0,-3.9334
1035,37.0,48.1543,-11.1543,-7.0,3.9451
1041,37.0,48.3186,-11.3186,-7.0,4.8911
1047,37.0,48.4826,-11.4826,-4.0,-1.1089
1052,38.0,48.6190,-10.6190,-6.0,7.8042
1058,38.0,48.7825,-10.7825,-5.0,1.8042
1064,39.0,48.9457,-9.9457,-6.0,9.7400
1071,39.0,49.1358,-10.1358,-9.0,9.7145
1077,39.0,49.2984,-10.2984,-8.0,3.7145
1083,39.0,49.4608,-10.4608,-5.0,-2.2855
1089,39.0,49.6229,-10.6229,-8.0,-1.2944
1095,40.0,49.7848,-9.7848,-11.0,6.6972
1101,40.0,49.9464,-9.9464,-10.0,7.6975
1108,40.0,50.1346,-10.1346,-14.0,7.7033
1114,40.0,50.2957,-10.2957,-13.0,8.7145
1120,40.0,50.4565,-10.4565,-13.0,9.7329
1127,40.0,50.6438,-10.6438,-11.0,9.7567
1133,40.0,50.8041,-10.8041,-13.0,10.7858
1140,40.0,50.9908,-10.9908,-9.0,3.7858
1146,40.0,51.1506,-11.1506,-7.0,-2.2142
1153,41.0,51.3367,-10.3367,-7.0,4.8843
1159,41.0,51.4960,-10.4960,-4.0,-1.1157
1166,41.0,51.6815,-10.6815,-6.0,-1.0570
1172,41.0,51.8403,-10.8403,-5.0,0.0086
1179,41.0,52.0252,-11.0252,-5.0,-6.9914
1186,41.0,52.2098,-11.2098,-7.0,-6.9172
1193,41.0,52.3941,-11.3941,-6.0,0.2462
1199,41.0,52.5519,-11.5519,-4.0,-5.7538
1206,41.0,52.7356,-11.7356,-2.0,-5.6629
1213,41.0,52.9191,-11.9191,-2.0,-5.5621
1220,41.0,53.1022,-12.1022,0.0,-5.4579
1227,41.0,53.2851,-12.2851,-1.0,-5.3489
1234,42.0,53.4676,-11.4676,-1.0,1.8807
1241,42.0,53.6499,-11.6499,-2.0,2.0011
1248,42.0,53.8319,-11.8319,-2.0,-4.9989
1255,42.0,54.0136,-12.0136,0.0,-4.8688
1262,42.0,54.1950,-12.1950,1.0,-4.7307
1270,42.0,54.4020,-12.4020,0.0,-12.7307
1277,43.0,54.5828,-11.5828,1.0,-12.5784
1284,43.0,54.7633,-11.7633,-1.0,-5.2676
1291,44.0,54.9436,-10.9436,0.0,2.0571
1299,44.0,55.1492,-11.1492,0.0,1.2250
1306,45.0,55.3289,-10.3289,0.0,8.5683
1314,45.0,55.5339,-10.5339,-3.0,7.7438
1321,46.0,55.7130,-9.7130,-2.0,15.1145
1329,46.0,55.9174,-9.9174,0.0,14.3052
1336,46.0,56.0959,-10.0959,0.0,9.7031
1344,46.0,56.2997,-10.2997,1.0,1.7031
1351,46.0,56.4777,-10.4777,6.0,-5.2969
1359,46.0,56.6808,-10.6808,7.0,-13.2969
1367,46.0,56.8835,-10.8835,7.0,-6.8605
1375,46.0,57.0860,-11.0860,5.0,-4.0249
1382,46.0,57.2629,-11.2629,5.0,-3.7943
1390,46.0,57.4647,-11.4647,8.0,-11.7943
1398,46.0,57.6662,-11.6662,9.0,-19.7943
1406,46.0,57.8674,-11.8674,11.0,-20.5508
1414,46.0,58.0683,-12.0683,10.0,-21.3002
1422,46.0,58.2688,-12.2688,12.0,-29.3002
1430,47.0,58.4691,-11.4691,9.0,-15.5116
1439,47.0,58.6940,-11.6940,7.0,-9.9724
1447,47.0,58.8936,-11.8936,4.0,-10.6951
1455,48.0,59.0929,-11.0929,2.0,-4.1337
1463,48.0,59.2919,-11.2919,1.0,-4.8482
1472,48.0,59.5154,-11.5154,3.0,-6.5545
1480,48.0,59.7138,-11.7138,4.0,-14.5545
1488,50.0,59.9119,-9.9119,3.0,-0.6477
1497,50.0,60.1344,-10.1344,-1.0,4.9667
1505,50.0,60.3318,-10.3318,-2.0,4.2793
1514,50.0,60.5536,-10.5536,-1.0,2.5998
1523,50.0,60.7750,-10.7750,0.0,0.9282
1531,50.0,60.9716,-10.9716,0.0,0.2619
1540,50.0,61.1923,-11.1923,1.0,-8.7381
1549,50.0,61.4128,-11.4128,-2.0,-3.0513
1558,50.0,61.6328,-11.6328,-3.0,-4.7033
1567,50.0,61.8525,-11.8525,-3.0,1.0054
1575,50.0,62.0476,-12.0476,-3.0,0.3649
1584,50.0,62.2666,-12.2666,-7.0,6.0965
1593,50.0,62.4854,-12.4854,-4.0,-2.9035
1603,50.0,62.7280,-12.7280,-7.0,1.8508
1612,51.0,62.9461,-11.9461,-10.0,7.6163
1621,52.0,63.1638,-11.1638,-14.0,20.7825
1630,52.0,63.3811,-11.3811,-15.0,19.1770
1639,52.0,63.5982,-11.5982,-15.0,17.5776
1649,52.0,63.8390,-11.8390,-11.0,7.5776
