M,Nprime,Cstar,sqrt_M_over_N,ratio
30,156250,1.468800e-02,1.385641e-02,1.0600
30,312500,8.604800e-03,9.797959e-03,0.8782
30,625000,5.321600e-03,6.928203e-03,0.7681
30,1250000,3.292000e-03,4.898979e-03,0.6720
30,2500000,1.916800e-03,3.464102e-03,0.5533
30,5000000,1.176600e-03,2.449490e-03,0.4803
210,156250,4.023680e-02,3.666061e-02,1.0975
210,312500,2.624320e-02,2.592296e-02,1.0124
210,625000,1.756480e-02,1.833030e-02,0.9582
210,1250000,1.135120e-02,1.296148e-02,0.8758
210,2500000,7.256800e-03,9.165151e-03,0.7918
210,5000000,4.708600e-03,6.480741e-03,0.7266
2310,156250,9.592960e-02,1.215895e-01,0.7890
2310,312500,6.815680e-02,8.597674e-02,0.7927
2310,625000,4.705600e-02,6.079474e-02,0.7740
2310,1250000,3.240560e-02,4.298837e-02,0.7538
2310,2500000,2.224880e-02,3.039737e-02,0.7319
2310,5000000,1.522780e-02,2.149419e-02,0.7085
